id;answers;question;key_words
2084f551-859d-411b-a8f3-3d184a511f22;Market;withdrawal Berkshire reboot;Tools
77d01204-2c95-4ca7-b125-d1ebf20e4d0f;synergy Ukraine Direct;scale;Executive haptic Nevada
5f68159a-7d0a-48e5-a83b-e6dc6d0cce82;bus Wooden;Sausages Savings turn-key;fresh-thinking relationships
f3f2b5f4-fede-4123-9ccc-af035b973bb0;framework Tonga;open-source Savings;Account
fd8840dc-6e0e-4b00-bdcf-85cf92103d9e;Wooden;Birr navigating Industrial;HDD Principal
40908f10-99c1-4aa6-8aba-8edbbd11be36;Future-proofed Berkshire Borders;Dakota;Intranet
fe700b7e-fde6-4e6d-91e0-cc0a941b6228;hacking Virtual Frozen;invoice Buckinghamshire;Pennsylvania Oklahoma Central
7502a4c6-c17f-41d7-bf98-f0304231e06b;Intelligent strategize;Angola Ergonomic AGP;Coordinator
3b0bba2f-d397-44ce-ab1d-b67c159f6656;CSS Refined Shoes;Refined;Soft Licensed
cce6fee4-6904-4a58-867f-802f7bb48753;frictionless;plug-and-play empowering Malaysia;connect quantify Plastic
